doc_id,topic,secondary_topics,indexed_title,document_type,url,language_hint,pub_date_hint,pub_date_hint_source,organization_hint
MOSPI-DOC-014,labour_statistics,definitions;sampling,"Periodic Labour Force Survey (PLFS) Annual Report 2021-22",report,https://www.mospi.gov.in/sites/default/files/publication_reports/AnnualReportPLFS2021-22F1.pdf,English,2021-22 (reference period),title,MoSPI / NSO
MOSPI-DOC-015,labour_statistics,metadata,"NMDS 2.0 metadata - PLFS",metadata_sheet,https://mospi.gov.in/sites/default/files/NMDS_2.0_PLFS_final_update.pdf,English,UNKNOWN,none,MoSPI / NSO
MOSPI-DOC-016,labour_statistics,data_quality,"Report of the NSC Committee on Periodic Labour Force Survey",committee_report,https://mospi.gov.in/sites/default/files/committee_reports/NSC_REPORT_PLFS.pdf,English,UNKNOWN,none,National Statistical Commission (MoSPI)
MOSPI-DOC-017,agricultural_statistics,official_methodology,"CSO-M-AG-01 Manual on Area and Crop Production Statistics",methodology_manual,https://www.mospi.gov.in/sites/default/files/publication_reports/manual_area_crop_production_23july08_1.pdf,English,2008-07-23,filename,MoSPI / CSO
MOSPI-DOC-018,agricultural_statistics,survey_design,"Situation Assessment Survey of Agricultural Households (NSS Report 587)",report,https://mospi.gov.in/sites/default/files/publication_reports/Report_587m_0.pdf,English,UNKNOWN,none,MoSPI / NSO
MOSPI-DOC-019,agricultural_statistics,survey_design,"Tabulation Plan, Schedule 33.1, NSS 77th Round",tabulation_plan,https://mospi.gov.in/sites/default/files/NSS7733/TP_%20Sch.33.1%20NSS%2077th%20round_final_26.09.2019.pdf,English,2019-09-26,filename,MoSPI / NSO
MOSPI-DOC-020,industrial_statistics,official_methodology,"Index of Industrial Production with Base 2011-12 - An Overview",methodology_manual,https://www.mospi.gov.in/sites/default/files/publication_reports/IIP_Manual_3apr18N1.pdf,English,2018-04-03,filename,MoSPI / NSO
MOSPI-DOC-021,industrial_statistics,official_methodology,"Report of the Working Group for IIP base revision",committee_report,https://www.mospi.gov.in/sites/default/files/iip/Report_of_WG_on_IIP.pdf,English,UNKNOWN,none,MoSPI
MOSPI-DOC-022,industrial_statistics,metadata,"Updated Material pertaining to Index of Industrial Production (Metadata, Base 2011-12)",metadata_sheet,https://www.mospi.gov.in/sites/default/files/Metadata_IIP%20Base%202011-12%2001.08.17%20(2017).pdf,English,2017-08-01,filename,MoSPI / NSO
MOSPI-DOC-023,industrial_statistics,definitions;sampling,"Instruction Manual - Annual Survey of Industries 2023-24",instruction_manual,https://mospi.gov.in/sites/default/files/publication_reports/ASI/Instruction-Manual-2023-24.pdf,English,2023-24 (survey year),filename,MoSPI / NSO
MOSPI-DOC-024,industrial_statistics,definitions,"Instruction Manual - Annual Survey of Industries 2023-24 (Hindi-titled copy)",instruction_manual,https://www.mospi.gov.in/sites/default/files/asi_results/Instruction-Manual-2023-24.pdf,Hindi,2023-24 (survey year),filename,MoSPI / NSO
MOSPI-DOC-025,industrial_statistics,survey_design,"Know Your Survey - A User Guide to the Annual Survey of Industries",user_guide,https://www.mospi.gov.in/uploads/announcements/announcements_1767350115204_48504eeb-1a56-4a89-8077-3affce921293_document_(49).pdf,English,UNKNOWN,none,MoSPI / NSO
MOSPI-DOC-026,sdg_indicators,metadata,"Sustainable Development Goals National Indicator Framework, 2026 (along with metadata)",indicator_framework,https://www.mospi.gov.in/uploads/publications_reports/publications_reports1782719243840_1f31af3d-72ef-43f0-8038-c029553699f3_SDG_NIF_2026_(along_with_metadata).pdf,English,2026,title,MoSPI / NSO
MOSPI-DOC-027,sdg_indicators,,"Sustainable Development Goals National Indicator Framework Progress Report, 2025",report,https://www.mospi.gov.in/sites/default/files/publication_reports/Sustainable%20Development%20Goals%20National%20Indicator%20Framework%20Progress%20Report,%202025.pdf,English,2025,title,MoSPI / NSO
MOSPI-DOC-028,sdg_indicators,metadata;definitions,"A Sustainable Development Goals National Indicator Framework (Baseline Report)",report,https://mospi.gov.in/sites/default/files/Report2.pdf,English,UNKNOWN,none,MoSPI / NSO
MOSPI-DOC-029,metadata,official_methodology,"National Metadata Structure NMDS 2.0",standard,https://www.mospi.gov.in/sites/default/files/NMDS%202.0_05122024.pdf,English,2024-12-05,filename,MoSPI / NSO
MOSPI-DOC-030,metadata,,"Data Dissemination: National Metadata Structure (NMDS)",standard,https://www.mospi.gov.in/sites/default/files/National_Metadata_Standard_6122023.pdf,English,2023-12-06,filename,MoSPI / NSO
MOSPI-DOC-031,data_quality,official_methodology,"Statistical Quality Assessment Framework (SQAF) Guidelines",framework,https://www.mospi.gov.in/sites/default/files/Statistical-Quality-Assessment-Framework-Guidelines%20.pdf,English,UNKNOWN,none,MoSPI / NSO
MOSPI-DOC-032,official_methodology,data_quality,"Draft Revised National Policy on Official Statistics (NPOS)",policy_draft,https://www.mospi.gov.in/sites/default/files/announcements/Draft_Revised_NPOS.pdf,English,UNKNOWN,none,MoSPI
MOSPI-DOC-033,official_methodology,,"Report of the Sub-Committee on Methodological Improvement for the Base [title truncated in index]",committee_report,https://www.mospi.gov.in/uploads/publications_reports/publications_reports1771417255069_dd7b57a4-51c9-495d-b426-0abfb9ded74f_Final_Report.pdf,English,UNKNOWN,none,MoSPI
