doc_id,title,title_status,url,document_type,topic,secondary_topics,organization,organization_status,publication_date,publication_date_status,server_last_modified,language,language_status,download_status,http_status,content_type,content_length_bytes,copyright_usage_status,notes
MOSPI-DOC-011,Report of the Committee on Price Statistics,UNVERIFIED_SECONDHAND,https://mospi.gov.in/sites/default/files/committee_reports/Final_Report_of_the_Committee_on_Prices.pdf,committee_report,price_statistics,official_methodology,MoSPI,UNVERIFIED_SECONDHAND,UNKNOWN,UNKNOWN,"Mon, 16 Jan 2017 14:25:32 GMT",English,UNVERIFIED_SECONDHAND,DOWNLOADABLE_PDF,200,application/pdf,280412,UNKNOWN,
MOSPI-DOC-012,Expert Group Report on Comprehensive Updation of CPI,UNVERIFIED_SECONDHAND,https://www.mospi.gov.in/uploads/Marquee/doc-0aee0026-bf32-4213-ae4f-c5308088444e.pdf,committee_report,price_statistics,official_methodology,MoSPI / NSO,UNVERIFIED_SECONDHAND,UNKNOWN,UNKNOWN,"Thu, 29 Jan 2026 10:38:06 GMT",English,UNVERIFIED_SECONDHAND,DOWNLOADABLE_PDF,200,application/pdf,5022008,UNKNOWN,"Hosted under /uploads/Marquee/ - a homepage banner upload path, which may be less stable than publication paths."
MOSPI-DOC-013,Periodic Labour Force Survey (PLFS) - changes in 2025,UNVERIFIED_SECONDHAND,https://www.mospi.gov.in/sites/default/files/publication_reports/PLFS_changes_in_2025_Final.pdf,methodology_note,labour_statistics,official_methodology,MoSPI / NSO,UNVERIFIED_SECONDHAND,2025,UNVERIFIED_SECONDHAND,"Wed, 14 May 2025 11:30:45 GMT",English,UNVERIFIED_SECONDHAND,DOWNLOADABLE_PDF,200,application/pdf,3539022,UNKNOWN,
MOSPI-DOC-014,Periodic Labour Force Survey (PLFS) Annual Report 2021-22,UNVERIFIED_SECONDHAND,https://www.mospi.gov.in/sites/default/files/publication_reports/AnnualReportPLFS2021-22F1.pdf,report,labour_statistics,definitions;sampling,MoSPI / NSO,UNVERIFIED_SECONDHAND,2021-22 (reference period),UNVERIFIED_SECONDHAND,"Tue, 21 Mar 2023 05:20:02 GMT",English,UNVERIFIED_SECONDHAND,DOWNLOADABLE_PDF,200,application/pdf,34295137,UNKNOWN,"Large file (~34 MB). Search summary indicates concepts and definitions, sample design and the schedule appear as a chapter and appendices in PLFS annual reports."
MOSPI-DOC-015,NMDS 2.0 metadata - PLFS,UNVERIFIED_SECONDHAND,https://mospi.gov.in/sites/default/files/NMDS_2.0_PLFS_final_update.pdf,metadata_sheet,labour_statistics,metadata,MoSPI / NSO,UNVERIFIED_SECONDHAND,UNKNOWN,UNKNOWN,"Thu, 21 Aug 2025 12:21:43 GMT",English,UNVERIFIED_SECONDHAND,DOWNLOADABLE_PDF,200,application/pdf,194720,UNKNOWN,
MOSPI-DOC-016,Report of the NSC Committee on Periodic Labour Force Survey,UNVERIFIED_SECONDHAND,https://mospi.gov.in/sites/default/files/committee_reports/NSC_REPORT_PLFS.pdf,committee_report,labour_statistics,data_quality,National Statistical Commission (MoSPI),UNVERIFIED_SECONDHAND,UNKNOWN,UNKNOWN,"Mon, 16 Jan 2017 14:25:50 GMT",English,UNVERIFIED_SECONDHAND,DOWNLOADABLE_PDF,200,application/pdf,2443028,UNKNOWN,
MOSPI-DOC-017,CSO-M-AG-01 Manual on Area and Crop Production Statistics,UNVERIFIED_SECONDHAND,https://www.mospi.gov.in/sites/default/files/publication_reports/manual_area_crop_production_23july08_1.pdf,methodology_manual,agricultural_statistics,official_methodology,MoSPI / CSO,UNVERIFIED_SECONDHAND,2008-07-23,UNVERIFIED_SECONDHAND,"Fri, 01 Jul 2016 05:43:24 GMT",English,UNVERIFIED_SECONDHAND,DOWNLOADABLE_PDF,200,application/pdf,1507553,UNKNOWN,
MOSPI-DOC-018,Situation Assessment Survey of Agricultural Households (NSS Report 587),UNVERIFIED_SECONDHAND,https://mospi.gov.in/sites/default/files/publication_reports/Report_587m_0.pdf,report,agricultural_statistics,survey_design,MoSPI / NSO,UNVERIFIED_SECONDHAND,UNKNOWN,UNKNOWN,"Fri, 10 Mar 2023 10:23:44 GMT",English,UNVERIFIED_SECONDHAND,DOWNLOADABLE_PDF,200,application/pdf,60536852,UNKNOWN,Very large file (~58 MB). Download cost should be considered before any bulk retrieval.
MOSPI-DOC-019,"Tabulation Plan, Schedule 33.1, NSS 77th Round",UNVERIFIED_SECONDHAND,https://mospi.gov.in/sites/default/files/NSS7733/TP_%20Sch.33.1%20NSS%2077th%20round_final_26.09.2019.pdf,tabulation_plan,agricultural_statistics,survey_design,MoSPI / NSO,UNVERIFIED_SECONDHAND,2019-09-26,UNVERIFIED_SECONDHAND,"Thu, 12 Aug 2021 10:27:10 GMT",English,UNVERIFIED_SECONDHAND,DOWNLOADABLE_PDF,200,application/pdf,2105426,UNKNOWN,
MOSPI-DOC-020,Index of Industrial Production with Base 2011-12 - An Overview,UNVERIFIED_SECONDHAND,https://www.mospi.gov.in/sites/default/files/publication_reports/IIP_Manual_3apr18N1.pdf,methodology_manual,industrial_statistics,official_methodology,MoSPI / NSO,UNVERIFIED_SECONDHAND,2018-04-03,UNVERIFIED_SECONDHAND,"Wed, 09 Aug 2023 06:08:02 GMT",English,UNVERIFIED_SECONDHAND,DOWNLOADABLE_PDF,200,application/pdf,1258825,UNKNOWN,
MOSPI-DOC-021,Report of the Working Group for IIP base revision,UNVERIFIED_SECONDHAND,https://www.mospi.gov.in/sites/default/files/iip/Report_of_WG_on_IIP.pdf,committee_report,industrial_statistics,official_methodology,MoSPI,UNVERIFIED_SECONDHAND,UNKNOWN,UNKNOWN,"Fri, 12 May 2017 12:04:28 GMT",English,UNVERIFIED_SECONDHAND,DOWNLOADABLE_PDF,200,application/pdf,2930152,UNKNOWN,
MOSPI-DOC-022,"Updated Material pertaining to Index of Industrial Production (Metadata, Base 2011-12)",UNVERIFIED_SECONDHAND,https://www.mospi.gov.in/sites/default/files/Metadata_IIP%20Base%202011-12%2001.08.17%20(2017).pdf,metadata_sheet,industrial_statistics,metadata,MoSPI / NSO,UNVERIFIED_SECONDHAND,2017-08-01,UNVERIFIED_SECONDHAND,"Tue, 16 Apr 2019 11:16:40 GMT",English,UNVERIFIED_SECONDHAND,DOWNLOADABLE_PDF,200,application/pdf,301061,UNKNOWN,
MOSPI-DOC-023,Instruction Manual - Annual Survey of Industries 2023-24,UNVERIFIED_SECONDHAND,https://mospi.gov.in/sites/default/files/publication_reports/ASI/Instruction-Manual-2023-24.pdf,instruction_manual,industrial_statistics,definitions;sampling,MoSPI / NSO,UNVERIFIED_SECONDHAND,2023-24 (survey year),UNVERIFIED_SECONDHAND,"Fri, 18 Oct 2024 07:50:22 GMT",English,UNVERIFIED_SECONDHAND,DOWNLOADABLE_PDF,200,application/pdf,3188716,UNKNOWN,"Same byte size (3,188,716) as MOSPI-DOC-024 but a different ETag and Last-Modified. Probable duplicate or re-upload; identity UNKNOWN without a content hash."
MOSPI-DOC-024,Instruction Manual - Annual Survey of Industries 2023-24 (Hindi-titled copy),UNVERIFIED_SECONDHAND,https://www.mospi.gov.in/sites/default/files/asi_results/Instruction-Manual-2023-24.pdf,instruction_manual,industrial_statistics,definitions,MoSPI / NSO,UNVERIFIED_SECONDHAND,2023-24 (survey year),UNVERIFIED_SECONDHAND,"Tue, 24 Sep 2024 04:56:22 GMT",Hindi,UNVERIFIED_SECONDHAND,DOWNLOADABLE_PDF,200,application/pdf,3188716,UNKNOWN,"Search index title is in Devanagari, but the file is the same byte size as the English-titled MOSPI-DOC-023. The document may be bilingual or identical; actual language UNKNOWN until opened."
MOSPI-DOC-025,Know Your Survey - A User Guide to the Annual Survey of Industries,UNVERIFIED_SECONDHAND,https://www.mospi.gov.in/uploads/announcements/announcements_1767350115204_48504eeb-1a56-4a89-8077-3affce921293_document_(49).pdf,user_guide,industrial_statistics,survey_design,MoSPI / NSO,UNVERIFIED_SECONDHAND,UNKNOWN,UNKNOWN,"Fri, 02 Jan 2026 10:35:15 GMT",English,UNVERIFIED_SECONDHAND,DOWNLOADABLE_PDF,200,application/pdf,815636,UNKNOWN,
MOSPI-DOC-026,"Sustainable Development Goals National Indicator Framework, 2026 (along with metadata)",UNVERIFIED_SECONDHAND,https://www.mospi.gov.in/uploads/publications_reports/publications_reports1782719243840_1f31af3d-72ef-43f0-8038-c029553699f3_SDG_NIF_2026_(along_with_metadata).pdf,indicator_framework,sdg_indicators,metadata,MoSPI / NSO,UNVERIFIED_SECONDHAND,2026,UNVERIFIED_SECONDHAND,"Mon, 29 Jun 2026 07:47:24 GMT",English,UNVERIFIED_SECONDHAND,DOWNLOADABLE_PDF,200,application/pdf,3330706,UNKNOWN,Most recent SDG framework found (Last-Modified 2026-06-29) and explicitly bundles metadata. Highest-value SDG item.
MOSPI-DOC-027,"Sustainable Development Goals National Indicator Framework Progress Report, 2025",UNVERIFIED_SECONDHAND,https://www.mospi.gov.in/sites/default/files/publication_reports/Sustainable%20Development%20Goals%20National%20Indicator%20Framework%20Progress%20Report,report,sdg_indicators,,title,UNVERIFIED_SECONDHAND,English,UNVERIFIED_SECONDHAND,UNKNOWN,%202025.pdf,UNVERIFIED_SECONDHAND,HTTP_404,404,UNKNOWN,,UNKNOWN,HTTP 404 on both the indexed URL and an en-dash title variant. Stale search index entry. Superseded for our purposes by MOSPI-DOC-026.
MOSPI-DOC-028,A Sustainable Development Goals National Indicator Framework (Baseline Report),UNVERIFIED_SECONDHAND,https://mospi.gov.in/sites/default/files/Report2.pdf,report,sdg_indicators,metadata;definitions,MoSPI / NSO,UNVERIFIED_SECONDHAND,UNKNOWN,UNKNOWN,"Thu, 27 Jun 2019 11:55:16 GMT",English,UNVERIFIED_SECONDHAND,DOWNLOADABLE_PDF,200,application/pdf,6450867,UNKNOWN,"Baseline report. Search summary says it contains Analytics, Metadata and Data Tables parts, with ten-point metadata per indicator."
MOSPI-DOC-029,National Metadata Structure NMDS 2.0,UNVERIFIED_SECONDHAND,https://www.mospi.gov.in/sites/default/files/NMDS%202.0_05122024.pdf,standard,metadata,official_methodology,MoSPI / NSO,UNVERIFIED_SECONDHAND,2024-12-05,UNVERIFIED_SECONDHAND,"Thu, 05 Dec 2024 07:16:20 GMT",English,UNVERIFIED_SECONDHAND,DOWNLOADABLE_PDF,200,application/pdf,772245,UNKNOWN,NMDS 2.0 - the current national metadata standard. Directly relevant to this project's own DATA_DICTIONARY.md design.
MOSPI-DOC-030,Data Dissemination: National Metadata Structure (NMDS),UNVERIFIED_SECONDHAND,https://www.mospi.gov.in/sites/default/files/National_Metadata_Standard_6122023.pdf,standard,metadata,,MoSPI / NSO,UNVERIFIED_SECONDHAND,2023-12-06,UNVERIFIED_SECONDHAND,"Wed, 06 Dec 2023 10:54:30 GMT",English,UNVERIFIED_SECONDHAND,DOWNLOADABLE_PDF,200,application/pdf,772019,UNKNOWN,Earlier NMDS document (Dec 2023). Superseded by NMDS 2.0 (MOSPI-DOC-029) for current use.
MOSPI-DOC-031,Statistical Quality Assessment Framework (SQAF) Guidelines,UNVERIFIED_SECONDHAND,https://www.mospi.gov.in/sites/default/files/Statistical-Quality-Assessment-Framework-Guidelines%20.pdf,framework,data_quality,official_methodology,MoSPI / NSO,UNVERIFIED_SECONDHAND,UNKNOWN,UNKNOWN,"Mon, 21 Apr 2025 06:53:07 GMT",English,UNVERIFIED_SECONDHAND,DOWNLOADABLE_PDF,200,application/pdf,724287,UNKNOWN,Filename contains a trailing space before .pdf (encoded as %20). URL is fragile if re-typed by hand.
MOSPI-DOC-032,Draft Revised National Policy on Official Statistics (NPOS),UNVERIFIED_SECONDHAND,https://www.mospi.gov.in/sites/default/files/announcements/Draft_Revised_NPOS.pdf,policy_draft,official_methodology,data_quality,MoSPI,UNVERIFIED_SECONDHAND,UNKNOWN,UNKNOWN,"Thu, 10 Aug 2023 10:55:46 GMT",English,UNVERIFIED_SECONDHAND,DOWNLOADABLE_PDF,200,application/pdf,365940,UNKNOWN,DRAFT policy. Must never be taught as settled policy. Also recorded in AUDIT-NSSTA-001 as NSSTA-DOC-006.
MOSPI-DOC-033,Report of the Sub-Committee on Methodological Improvement for the Base [title truncated in index],UNVERIFIED_SECONDHAND,https://www.mospi.gov.in/uploads/publications_reports/publications_reports1771417255069_dd7b57a4-51c9-495d-b426-0abfb9ded74f_Final_Report.pdf,committee_report,official_methodology,,MoSPI,UNVERIFIED_SECONDHAND,UNKNOWN,UNKNOWN,"Wed, 18 Feb 2026 12:20:55 GMT",English,UNVERIFIED_SECONDHAND,DOWNLOADABLE_PDF,200,application/pdf,8728399,UNKNOWN,"Title truncated in search index ('...Methodological Improvement for the Base'). Full title and subject UNKNOWN. Large (~8.3 MB), recent (Feb 2026)."
